THE SEED IS: 7

OVERALL JOB STATS -
IterStartTime=42.03076923076924 IterEndTime=42.04615384615386 LossValue=0.016467713603536018
IterStartTime=42.04615384615386 IterEndTime=42.061538461538476 LossValue=0.004188897455705124
IterStartTime=42.061538461538476 IterEndTime=42.076923076923094 LossValue=0.0010648993841479595
IterStartTime=42.076923076923094 IterEndTime=42.09230769230771 LossValue=2.7008628216850655E-4
IterStartTime=42.09230769230771 IterEndTime=42.10769230769233 LossValue=6.786853023394323E-5
JobId=10 ArrivalTime=45.0 StartTime=46.0 EndTime=48.000000000000014 NumIters=10
IterStartTime=46.0 IterEndTime=46.2 LossValue=0.44728105902480986
IterStartTime=46.2 IterEndTime=46.400000000000006 LossValue=0.22512146887266093
IterStartTime=46.400000000000006 IterEndTime=46.60000000000001 LossValue=0.12673585215040306
IterStartTime=46.60000000000001 IterEndTime=46.80000000000001 LossValue=0.07644356956486
IterStartTime=46.80000000000001 IterEndTime=47.000000000000014 LossValue=0.0477007412104236
IterStartTime=47.0 IterEndTime=47.2 LossValue=0.029852532858075615
IterStartTime=47.2 IterEndTime=47.400000000000006 LossValue=0.018051571444019653
IterStartTime=47.400000000000006 IterEndTime=47.60000000000001 LossValue=0.009859554050514623
IterStartTime=47.60000000000001 IterEndTime=47.80000000000001 LossValue=0.003948291001741249
IterStartTime=47.80000000000001 IterEndTime=48.000000000000014 LossValue=-4.5347056350092743E-4
JobId=11 ArrivalTime=54.0 StartTime=54.0 EndTime=55.75 NumIters=7
IterStartTime=54.0 IterEndTime=54.25 LossValue=0.21994770828479096
IterStartTime=54.25 IterEndTime=54.5 LossValue=0.04837683314970401
IterStartTime=54.5 IterEndTime=54.75 LossValue=0.01064017689311723
IterStartTime=54.75 IterEndTime=55.0 LossValue=0.0023400780313112567
IterStartTime=55.0 IterEndTime=55.25 LossValue=5.144885925615515E-4
IterStartTime=55.25 IterEndTime=55.5 LossValue=1.1295400190616972E-4
IterStartTime=55.5 IterEndTime=55.75 LossValue=2.463730590073763E-5
JobId=12 ArrivalTime=57.0 StartTime=58.0 EndTime=58.357142857142854 NumIters=10
IterStartTime=58.0 IterEndTime=58.035714285714285 LossValue=0.4389594299951021
IterStartTime=58.035714285714285 IterEndTime=58.07142857142857 LossValue=0.22744323833356506
IterStartTime=58.07142857142857 IterEndTime=58.107142857142854 LossValue=0.13140830184242722
IterStartTime=58.107142857142854 IterEndTime=58.14285714285714 LossValue=0.08079489735191231
IterStartTime=58.14285714285714 IterEndTime=58.17857142857142 LossValue=0.05111680005144589
IterStartTime=58.17857142857142 IterEndTime=58.21428571428571 LossValue=0.03230607452452708
IterStartTime=58.21428571428571 IterEndTime=58.24999999999999 LossValue=0.019662925846756826
IterStartTime=58.25 IterEndTime=58.285714285714285 LossValue=0.010768693299493145
IterStartTime=58.285714285714285 IterEndTime=58.32142857142857 LossValue=0.00428000500276212
IterStartTime=58.32142857142857 IterEndTime=58.357142857142854 LossValue=-5.96168706593396E-4
JobId=13 ArrivalTime=55.0 StartTime=56.0 EndTime=56.43478260869563 NumIters=10
IterStartTime=56.0 IterEndTime=56.04347826086956 LossValue=0.6073718845598581
IterStartTime=56.04347826086956 IterEndTime=56.086956521739125 LossValue=0.3801319800191469
IterStartTime=56.086956521739125 IterEndTime=56.13043478260869 LossValue=0.2456181549075085
IterStartTime=56.13043478260869 IterEndTime=56.17391304347825 LossValue=0.1617936711791464
IterStartTime=56.17391304347825 IterEndTime=56.217391304347814 LossValue=0.10680694998139038
IterStartTime=56.217391304347814 IterEndTime=56.26086956521738 LossValue=0.06908338524459391
IterStartTime=56.26086956521738 IterEndTime=56.30434782608694 LossValue=0.04220477006220236
IterStartTime=56.30434782608694 IterEndTime=56.3478260869565 LossValue=0.02243479110081298
IterStartTime=56.3478260869565 IterEndTime=56.391304347826065 LossValue=0.007498298634088102
IterStartTime=56.391304347826065 IterEndTime=56.43478260869563 LossValue=-0.004046519380091887
JobId=14 ArrivalTime=53.0 StartTime=54.0 EndTime=54.43478260869563 NumIters=10
IterStartTime=54.0 IterEndTime=54.04347826086956 LossValue=0.6034060682272965
IterStartTime=54.04347826086956 IterEndTime=54.086956521739125 LossValue=0.28628456787995116
IterStartTime=54.086956521739125 IterEndTime=54.13043478260869 LossValue=0.1480622522774276
IterStartTime=54.13043478260869 IterEndTime=54.17391304347825 LossValue=0.08374145057830389
IterStartTime=54.17391304347825 IterEndTime=54.217391304347814 LossValue=0.04990718458812614
IterStartTime=54.217391304347814 IterEndTime=54.26086956521738 LossValue=0.030221978958105807
IterStartTime=54.26086956521738 IterEndTime=54.30434782608694 LossValue=0.017851030350393843
IterStartTime=54.30434782608694 IterEndTime=54.3478260869565 LossValue=0.009601776476412863
IterStartTime=54.3478260869565 IterEndTime=54.391304347826065 LossValue=0.003839085911921225
IterStartTime=54.391304347826065 IterEndTime=54.43478260869563 LossValue=-3.3939316754261206E-4
JobId=15 ArrivalTime=49.0 StartTime=50.0 EndTime=50.344827586206904 NumIters=10
IterStartTime=50.0 IterEndTime=50.03448275862069 LossValue=0.5950161552218599
